Designator,Footprint,Quantity,Value,LCSC Part #
BATT1,BatteryHolder_Keystone_103_1x20mm,1,~,
"C1, C3",1206,2,100uF,
C2,CP_Radial_D12.5mm_P5.00mm,1,1000uF,
"C4, C5",1206,2,100nF,
C6,CP_Radial_D8.0mm_P5.00mm,1,470uF,
D1,D_DO-41_SOD81_P12.70mm_Horizontal,1,D,
D2,TO-220F-2_Horizontal_TabDown,1,D,
J1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,OLED,
J2,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,SPEAKERS,
J3,JST_XA_B06B-XASK-1-A_1x06_P2.50mm_Vertical,1,TOF,
J4,JST_XA_B07B-XASK-1_1x07_P2.50mm_Vertical,1,RFID,
J5,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J6,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,HX711,
J7,IDC-Header_2x20_P2.54mm_Horizontal,1,Conn_02x20_Counter_Clockwise,
J8,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,1,ARGB,
J9,JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,1,Conn_01x02,
P1,DIP-12_913_ELL,1,DRF0768,
Q1,TO-220-3_Horizontal_TabDown,1,Q_PMOS_GDS,
"R1, R2, R6, R7, R8",1206,5,4.7k,
R10,1206,1,16k,
"R11, R19",1206,2,47R,
"R12, R13, R14, R3, R4, R5, R9",1206,7,1.2k,
R15,1206,1,10K,
R16,1206,1,1k,
R17,1206,1,9.1k,
R18,1206,1,3.9k,
U1,MODULE_DFR0299,1,DFR0299,
U2,DIP-4_W7.62mm,1,PC817,
"U3, U4",HW-613,2,HW-613,
U5,MODULE_TMC2209_SILENTSTEPSTICK,1,TMC2209_SILENTSTEPSTICK,
U6,CONV_BOB-12009,1,BOB-12009,
ΜC1,DIP-40_W15.24mm_LongPads,1,BlackPill,
