Designator,Mid X,Mid Y,Rotation,Layer
BATT1,124.72108102674382,-52.75108202674382,45.0,bottom
C1,149.05,-63.8,0.0,top
C2,121.14,-69.69,90.0,top
C3,179.4,-109.3625,90.0,bottom
C4,175.9375,-88.5,180.0,bottom
C5,182.4,-57.1,180.0,top
C6,144.8,-106.522651,90.0,top
D1,109.95,-86.23,0.0,top
D2,126.2,-87.925,0.0,top
J1,144.075,-50.6275,180.0,top
J2,157.5625,-111.845,90.0,top
J3,144.0875,-40.325,180.0,top
J4,164.05,-40.85,0.0,top
J5,187.91,-40.6,270.0,top
J6,177.7125,-98.025,90.0,top
J7,133.4,-122.77,270.0,top
J8,168.9,-98.55,90.0,top
J9,189.55,-59.8,0.0,top
P1,184.933918,-119.96,180.0,top
Q1,109.06,-73.225,0.0,top
R1,139.5,-57.86,90.0,top
R10,174.6,-51.05,0.0,top
R11,177.1,-55.65,90.0,top
R12,114.15,-129.85,270.0,bottom
R13,110.7,-129.9,90.0,bottom
R14,105.9,-129.85,270.0,bottom
R15,113.7,-97.4,0.0,top
R16,106.1,-97.35,0.0,top
R17,119.3,-84.2,90.0,bottom
R18,119.25,-79.15,90.0,bottom
R19,173.3,-91.25,0.0,bottom
R2,143.55,-57.86,90.0,top
R3,197.05,-45.95,180.0,top
R4,193.95,-48.6,180.0,top
R5,190.85,-46.1,180.0,top
R6,184.6,-45.9,0.0,top
R7,181.45,-48.6,0.0,top
R8,178.4,-45.9,0.0,top
R9,198.8,-52.25,90.0,top
U1,184.733,-119.77,0.0,top
U2,108.355,-92.845,0.0,top
U3,105.88325,-106.29675,0.0,top
U4,123.7,-106.33,0.0,bottom
U5,141.22,-106.1075,90.0,top
U6,191.9,-96.59,270.0,top
ΜC1,171.66,-75.19,270.0,top
